,open,high,low,close,volume,rsi,atr,sma_20,swing_high,swing_low,structure,liq_above,liq_below,fvg_bull,fvg_bear,body_size,range_size,ob_bull,ob_bear,signal,equity
2023-01-01 19:00:00,99.19453298899948,99.29063718145778,99.00390757993672,99.19453298899948,6454,30.7639807937757,0.6238572656617914,100.67327673957035,False,False,ranging,True,True,False,False,0.0,0.28672960152105986,False,False,-1,100000
2023-01-01 20:00:00,98.62961150846537,98.75686129238595,98.25783399000933,98.62961150846537,5117,27.835718892975933,0.6777619278869155,100.60475731499363,False,False,ranging,True,True,False,False,0.0,0.49902730237661785,False,False,0,100000
2023-01-01 21:00:00,99.215871016034,99.37272166244465,99.1978912269541,99.215871016034,9869,27.167487651942267,0.6665381465846301,100.5556165827351,False,False,ranging,True,True,False,False,0.0,0.17483043549054855,False,False,0,100000
2023-01-01 22:00:00,99.12556049583938,99.29767049702096,99.04234741445192,99.12556049583938,3028,21.87610950514508,0.6492379787562937,100.50472561049028,False,False,ranging,True,True,False,False,0.0,0.2553230825690349,False,False,0,100000
2023-01-01 23:00:00,99.15257177771456,99.15987815539285,98.74437419896296,99.15257177771456,7845,23.24935439028846,0.642299724563748,100.4422314315772,False,False,ranging,True,True,False,False,0.0,0.41550395642988747,False,False,0,100000
2023-01-02 00:00:00,98.58267250322918,99.22535361081273,98.19002638349345,98.58267250322918,4758,17.122325892022232,0.6846915547468301,100.32078169181167,False,False,ranging,True,True,False,False,0.0,1.0353272273192857,False,False,0,100000
2023-01-02 01:00:00,98.3649194134191,98.88318236444931,97.45906576667285,98.3649194134191,6904,17.009467936757346,0.7237365846593643,100.19312736505012,False,False,ranging,True,True,False,False,0.0,1.424116597776461,False,False,0,100000
2023-01-02 02:00:00,98.40928844930305,98.54018555020525,98.35413358587694,98.40928844930305,5624,18.44525801071177,0.7073753438972464,100.07237422922174,False,False,ranging,True,True,False,False,0.0,0.18605196432831406,False,False,0,100000
2023-01-02 03:00:00,97.94889101833412,97.96029206178459,97.40873766388087,97.94889101833412,9848,15.254427029072772,0.7178917595185611,99.89701696553479,False,False,ranging,True,True,False,False,0.0,0.5515543979037147,False,False,0,100000
2023-01-02 04:00:00,98.0991702256724,98.13517962368788,97.72748631979056,98.0991702256724,1165,20.65469816438241,0.6722067792115283,99.71382496763167,False,False,ranging,True,True,False,False,0.0,0.40769330389731806,False,False,0,100000
2023-01-02 05:00:00,97.85891474970488,98.04297014152401,97.79601692512249,97.85891474970488,5591,22.936692662556183,0.6268027588518977,99.52800968364889,False,False,ranging,True,True,False,False,0.0,0.246953216401522,False,False,0,100000
2023-01-02 06:00:00,97.74223724978756,98.04907501934709,97.59474639409795,97.74223724978756,1589,23.56327040270503,0.6390360282748192,99.32550932379851,False,False,ranging,True,True,False,False,0.0,0.45432862524913276,False,False,0,100000
2023-01-02 07:00:00,97.5015546048958,97.5787675661228,97.2594178259046,97.5015546048958,5524,24.58361157235865,0.6389169228002477,99.1202431855598,False,False,ranging,True,True,False,False,0.0,0.3193497402182004,False,False,0,100000
2023-01-02 08:00:00,98.24246587869938,98.74304110086265,97.95040201878804,98.24246587869938,3821,35.097491362743,0.6742856396880005,98.96133720608267,False,False,ranging,True,True,False,False,0.0,0.792639082074615,False,False,-1,100000
